iter	Passed	Remaining
834	15046	2973
835	15064	2955
836	15082	2937
837	15102	2919
838	15120	2901
839	15137	2883
840	15156	2865
841	15172	2847
842	15188	2828
843	15204	2810
844	15220	2791
845	15235	2773
846	15250	2754
847	15266	2736
848	15282	2718
849	15297	2699
850	15315	2681
851	15332	2663
852	15349	2645
853	15366	2627
854	15383	2608
855	15398	2590
856	15416	2572
857	15432	2554
858	15448	2535
859	15465	2517
860	15481	2499
861	15499	2481
862	15516	2463
863	15533	2445
864	15550	2427
865	15566	2408
866	15582	2390
867	15597	2371
868	15614	2353
869	15632	2335
870	15652	2318
871	15668	2299
872	15687	2282
873	15703	2263
874	15720	2245
875	15737	2227
876	15757	2209
877	15773	2191
878	15793	2174
879	15814	2156
880	15831	2138
881	15850	2120
882	15870	2102
883	15887	2084
884	15904	2066
885	15920	2048
886	15936	2030
887	15953	2012
888	15970	1994
889	15987	1976
890	16005	1957
891	16023	1940
892	16041	1922
893	16059	1904
894	16078	1886
895	16096	1868
896	16115	1850
897	16133	1832
898	16151	1814
899	16167	1796
900	16184	1778
901	16200	1760
902	16217	1742
903	16235	1724
904	16253	1706
905	16269	1688
906	16287	1670
907	16302	1651
908	16317	1633
909	16334	1615
910	16350	1597
911	16364	1579
912	16379	1560
913	16395	1542
914	16412	1524
915	16429	1506
916	16445	1488
917	16461	1470
918	16478	1452
919	16494	1434
920	16512	1416
921	16530	1398
922	16547	1380
923	16565	1362
924	16582	1344
925	16598	1326
926	16616	1308
927	16634	1290
928	16650	1272
929	16664	1254
930	16680	1236
931	16700	1218
932	16718	1200
933	16740	1182
934	16756	1164
935	16773	1146
936	16789	1128
937	16804	1110
938	16822	1092
939	16840	1074
940	16858	1056
941	16877	1039
942	16898	1021
943	16916	1003
944	16935	985
945	16960	968
946	16978	950
947	16997	932
948	17018	914
949	17037	896
950	17058	878
951	17078	861
952	17097	843
953	17114	825
954	17133	807
955	17150	789
956	17165	771
957	17183	753
958	17199	735
959	17218	717
960	17235	699
961	17261	681
962	17280	663
963	17298	646
964	17315	628
965	17333	610
966	17349	592
967	17365	574
968	17381	556
969	17398	538
970	17416	520
971	17433	502
972	17450	484
973	17467	466
974	17485	448
975	17503	430
976	17520	412
977	17538	394
978	17557	376
979	17574	358
980	17590	340
981	17607	322
982	17625	304
983	17643	286
984	17661	268
985	17679	251
986	17696	233
987	17714	215
988	17730	197
989	17746	179
990	17763	161
991	17781	143
992	17798	125
993	17815	107
994	17832	89
995	17848	71
996	17865	53
997	17882	35
998	17897	17
999	17912	0
